anorexia,muntah,lemah,kurang respon,dehidrasi,demam,diare,hipersevalis,radang telinga,batuk,hidung meler,gatal,telinga keropeng,pilek,bersin2,mata berair,penyakit
Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
